Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,EMA_7,EMA_21,Ticker,Company,Headlines,Headline_List,negative,neutral,positive
2021-06-04,123.1622925,126.2099991,127.1299973,125.6500015,126.5,80171300,0.002462326,120.6498794,120.1907594,AAPL,Apple Inc,"Apple Inc . stock outperforms market on strong trading day | Apple Inc . stock outperforms competitors on strong trading day | HON HAI PREC INDS RE ( HNHPF ), Apple Inc . ( NASDAQ : AAPL ) - Why Foxconn Q1 Revenue Bodes Well for Apple","['Apple Inc . stock outperforms market on strong trading day', 'Apple Inc . stock outperforms competitors on strong trading day', 'HON HAI PREC INDS RE ( HNHPF ), Apple Inc . ( NASDAQ : AAPL ) - Why Foxconn Q1 Revenue Bodes Well for Apple']",9.305096568823501e-07,0.9999985694885254,4.417260015543434e-07
2021-06-05,126.607048,129.7400055,129.75,127.1299973,127.8899994,78128300,0.012802542,127.3764786,127.6339399,AAPL,Apple Inc,Apple Inc . stock underperforms Thursday when compared to competitors despite daily gains,['Apple Inc . stock underperforms Thursday when compared to competitors despite daily gains'],0.6035629510879517,0.3639531135559082,0.032483939081430435
2021-06-07,138.8259125,142.0200043,143.1499939,140.0700073,140.0700073,108181800,0.01471862,134.7484658,130.599208,AAPL,Apple Inc,"Apple Inc . stock rises Tuesday , outperforms market | A Peek Into The Markets : US Stock Futures Mostly Flat Ahead Of Services PMI | Apple Inc . ( NASDAQ : AAPL ), ( AMC ) - Tesla , Apple , AMC Are The Most Popular Foreign Stocks Among South Koreans This Year | HON HAI PREC INDS RE ( HNHPF ), Apple Inc . ( NASDAQ : AAPL ) - Apple Supplier Foxconn Sees 20 % Surge In Q2 Revenue","['Apple Inc . stock rises Tuesday , outperforms market', 'A Peek Into The Markets : US Stock Futures Mostly Flat Ahead Of Services PMI', 'Apple Inc . ( NASDAQ : AAPL ), ( AMC ) - Tesla , Apple , AMC Are The Most Popular Foreign Stocks Among South Koreans This Year', 'HON HAI PREC INDS RE ( HNHPF ), Apple Inc . ( NASDAQ : AAPL ) - Apple Supplier Foxconn Sees 20 % Surge In Q2 Revenue']",0.49930229783058167,0.5000090003013611,0.0006886959890834987
2021-06-08,143.0672913,146.1399994,147.1100006,145.6300049,146.3500061,54126800,-0.004766709,143.2705007,141.7244535,AAPL,Apple Inc,"Apple Inc . stock falls Friday , underperforms market","['Apple Inc . stock falls Friday , underperforms market']",0.996020495891571,0.001203032210469246,0.00277648470364511
2021-06-10,139.0143127,142.0,142.1499939,138.3699951,139.4700012,83221100,0.006306952,139.088155,141.7495641,AAPL,Apple Inc,Apple Inc . stock underperforms Wednesday when compared to competitors despite daily gains | APPLE INC . : AAPL Stock Price | US0378331005,"['Apple Inc . stock underperforms Wednesday when compared to competitors despite daily gains', 'APPLE INC . : AAPL Stock Price', 'US0378331005']",0.739966869354248,0.1875339299440384,0.07249920815229416
2021-06-12,162.080246,165.3200073,167.8800049,164.2799988,164.2899933,107497000,0.021503022,159.6223726,155.1027373,AAPL,Apple Inc,Apple Inc . stock outperforms competitors on strong trading day,['Apple Inc . stock outperforms competitors on strong trading day'],1.5528917174378876e-06,0.9999973773956299,1.0240219125989825e-06
2021-06-14,127.5454636,130.4799957,130.5399933,127.0699997,127.8199997,96906500,0.024578149,124.5420189,123.9411568,AAPL,Apple Inc,"Apple Inc . stock outperforms market on strong trading day | Apple to Debut Faster Watch with Temperature and Glucose Testing Capabilities , AAPL Stock Slightly Up | Apple Inc . ( NASDAQ : AAPL ), Adobe Systems Incorporated ( NASDAQ : ADBE ) -  FAANG  Stocks In Focus After Congress Proposes Bills Designed To Reduce Their Influence","['Apple Inc . stock outperforms market on strong trading day', 'Apple to Debut Faster Watch with Temperature and Glucose Testing Capabilities , AAPL Stock Slightly Up', 'Apple Inc . ( NASDAQ : AAPL ), Adobe Systems Incorporated ( NASDAQ : ADBE ) -  FAANG  Stocks In Focus After Congress Proposes Bills Designed To Reduce Their Influence']",0.33215296268463135,0.6666919589042664,0.0011551027419045568
2021-06-15,126.7243423,129.6399994,130.6000061,129.3899994,129.9400024,62746300,-0.006437871,125.0875998,124.1941737,AAPL,Apple Inc,"Apple Inc . stock outperforms market on strong trading day | Apple Inc . stock underperforms Tuesday when compared to competitors | Facebook , Inc . ( NASDAQ : FB ), Apple Inc . ( NASDAQ : AAPL ) - US Representative Seek To Unwind Facebook Instagram , WhatsApp Acquisitions : Bloomberg","['Apple Inc . stock outperforms market on strong trading day', 'Apple Inc . stock underperforms Tuesday when compared to competitors', 'Facebook , Inc . ( NASDAQ : FB ), Apple Inc . ( NASDAQ : AAPL ) - US Representative Seek To Unwind Facebook Instagram , WhatsApp Acquisitions : Bloomberg']",0.6262701153755188,0.36329376697540283,0.01043606549501419
2021-06-16,127.2228546,130.1499939,130.8899994,128.4600067,130.3699951,91815000,0.003933832,125.6214135,124.4695083,AAPL,Apple Inc,Apple Inc . stock outperforms market on strong trading day,['Apple Inc . stock outperforms market on strong trading day'],1.2355479839243344e-06,0.9999984502792358,2.9883503316341375e-07
2021-06-17,128.8259888,131.7899933,132.5500031,129.6499939,129.8000031,96721700,0.012600992,126.4225573,124.865552,AAPL,Apple Inc,"Apple Inc . stock outperforms market on strong trading day | Apple Inc . ( NASDAQ : AAPL ), ( FTEC ) - Why Apple Stock Looks Ready To Break Out In The Weeks Ahead","['Apple Inc . stock outperforms market on strong trading day', 'Apple Inc . ( NASDAQ : AAPL ), ( FTEC ) - Why Apple Stock Looks Ready To Break Out In The Weeks Ahead']",0.2831932604312897,0.7167966365814209,1.0121671039087232e-05
