Company,Target,Predicted
MSFT_stock_gdelt_final_train,428.01999278506634,461.37190281765294
MSFT_stock_gdelt_final_train,304.10000928755295,321.03992225507324
AAPL_stock_gdelt_final_train,153.85000506299855,181.876996119849
AAPL_stock_gdelt_final_train,243.03999716365897,256.1146078407066
AAPL_stock_gdelt_final_train,177.14999186008052,186.68406649135514
MSFT_stock_gdelt_final_train,299.72000102293356,320.3121984543396
MSFT_stock_gdelt_final_train,245.16999855345875,263.74942434968494
MSFT_stock_gdelt_final_train,431.95001479285935,457.70295501419247
MSFT_stock_gdelt_final_train,304.64999079948944,325.64142358591204
MSFT_stock_gdelt_final_train,270.22000074057183,301.2328116002246
AAPL_stock_gdelt_final_train,173.00000185725247,182.4482324537939
AAPL_stock_gdelt_final_train,174.55999855005132,158.43159613491378
MSFT_stock_gdelt_final_train,409.06000370474436,443.606484964068
AAPL_stock_gdelt_final_train,159.21999989247004,171.70320890167451
AAPL_stock_gdelt_final_train,151.00000096657232,156.90505102278357
MSFT_stock_gdelt_final_train,264.7900080575574,291.48921672388684
AAPL_stock_gdelt_final_train,227.57001011927503,249.9802307878397
AAPL_stock_gdelt_final_train,187.1499949704981,203.6484905724741
AAPL_stock_gdelt_final_train,169.80000188230258,180.79584851545238
AAPL_stock_gdelt_final_train,121.95999896181269,145.20621312951562
AAPL_stock_gdelt_final_train,182.7400069360699,194.26425079197787
MSFT_stock_gdelt_final_train,327.7600112318069,355.0630529104565
AAPL_stock_gdelt_final_train,172.0700070993139,181.17957232857748
AAPL_stock_gdelt_final_train,125.12000255093481,145.1087622296038
AAPL_stock_gdelt_final_train,165.33000252846182,176.0205205818303
AAPL_stock_gdelt_final_train,172.0700070993139,184.07031949789996
AAPL_stock_gdelt_final_train,184.1199951802249,192.8137752885568
MSFT_stock_gdelt_final_train,406.56000058569776,445.00442502192533
MSFT_stock_gdelt_final_train,352.7999887842671,377.4807229966901
MSFT_stock_gdelt_final_train,247.80999655142568,261.2819413737171
AAPL_stock_gdelt_final_train,185.9199988862833,198.31093969471615
AAPL_stock_gdelt_final_train,172.16999620380872,145.9318675379249
MSFT_stock_gdelt_final_train,249.89999401537898,263.58670950182847
MSFT_stock_gdelt_final_train,240.7400059767383,253.10790373519467
MSFT_stock_gdelt_final_train,314.00000368213665,334.53030327452876
AAPL_stock_gdelt_final_train,175.05999934331206,183.32131530796653
MSFT_stock_gdelt_final_train,237.9199982583791,258.9650105294823
MSFT_stock_gdelt_final_train,253.13000358441604,273.4561848758486
MSFT_stock_gdelt_final_train,277.66000685758087,295.11843121261705
MSFT_stock_gdelt_final_train,327.2900061409983,345.9092946020792
AAPL_stock_gdelt_final_train,148.49999912606816,163.18912687526196
MSFT_stock_gdelt_final_train,243.11999500669253,261.2778021697314
MSFT_stock_gdelt_final_train,425.2200039006894,449.7961166888418
MSFT_stock_gdelt_final_train,322.23001188043605,349.5778923993203
MSFT_stock_gdelt_final_train,299.86999390559873,326.2802762422471
MSFT_stock_gdelt_final_train,242.11999490039852,252.47891212364902
AAPL_stock_gdelt_final_train,154.49999801619944,131.95846246195453
MSFT_stock_gdelt_final_train,406.6600110584696,433.1922325184169
MSFT_stock_gdelt_final_train,359.489992443796,371.96281407754947
MSFT_stock_gdelt_final_train,246.22999619326038,265.66903345986344
MSFT_stock_gdelt_final_train,420.4500126193744,453.85072569307164
AAPL_stock_gdelt_final_train,168.88000688513327,182.28662067387822
MSFT_stock_gdelt_final_train,275.79000732458377,297.94544666419466
MSFT_stock_gdelt_final_train,248.16000277080366,261.24773967901916
AAPL_stock_gdelt_final_train,146.14000031373234,165.93517512535757
AAPL_stock_gdelt_final_train,148.97000063702106,150.45311991730713
MSFT_stock_gdelt_final_train,252.17999159463852,271.78114641587587
AAPL_stock_gdelt_final_train,191.44999839126118,205.0977926345804
AAPL_stock_gdelt_final_train,187.86999900388085,198.3227081206555
AAPL_stock_gdelt_final_train,150.16999743892805,158.14644139222867
MSFT_stock_gdelt_final_train,425.51998966601974,449.78045771494004
MSFT_stock_gdelt_final_train,261.5499890715292,278.87248166332216
AAPL_stock_gdelt_final_train,127.09999876214097,132.28746181898197
MSFT_stock_gdelt_final_train,430.5899971479885,458.23691232834614
MSFT_stock_gdelt_final_train,272.1700147388511,290.53027577109975
MSFT_stock_gdelt_final_train,334.29000878726407,358.8096716592955
MSFT_stock_gdelt_final_train,335.0499864219965,362.76983985494013
MSFT_stock_gdelt_final_train,328.6499933505457,357.23621109125094
MSFT_stock_gdelt_final_train,230.72000129747767,253.91962902857904
MSFT_stock_gdelt_final_train,314.9800134875641,344.210181801278
AAPL_stock_gdelt_final_train,189.95000026307795,202.4944365489994
MSFT_stock_gdelt_final_train,334.92001237331357,352.9010797110205
MSFT_stock_gdelt_final_train,437.10998909087,459.5546400913191
MSFT_stock_gdelt_final_train,377.85000999345726,401.6677201748644
MSFT_stock_gdelt_final_train,382.7699865486066,407.1855986586816
MSFT_stock_gdelt_final_train,442.93999703406377,459.6775379273059
MSFT_stock_gdelt_final_train,426.99999857349036,459.5964886610273
MSFT_stock_gdelt_final_train,330.07998941279953,357.6770210980649
AAPL_stock_gdelt_final_train,130.05999810122975,142.79265267339946
AAPL_stock_gdelt_final_train,193.2199985634128,209.3434733753481
AAPL_stock_gdelt_final_train,162.50999346274446,168.04941876263112
AAPL_stock_gdelt_final_train,187.42999252363683,197.8197439629151
AAPL_stock_gdelt_final_train,165.75000098396936,165.99769063656143
AAPL_stock_gdelt_final_train,149.14999420506854,154.62575181043144
AAPL_stock_gdelt_final_train,150.4299933447287,164.82679177798136
AAPL_stock_gdelt_final_train,130.47999549383758,169.78017667632167
AAPL_stock_gdelt_final_train,220.1100015150402,234.55379712326888
MSFT_stock_gdelt_final_train,280.5700042184745,299.57375168504956
MSFT_stock_gdelt_final_train,216.44000244269,222.96667303685535
AAPL_stock_gdelt_final_train,150.8200073985248,152.95596182592092
MSFT_stock_gdelt_final_train,338.36999324239883,356.28997688599344
MSFT_stock_gdelt_final_train,245.38000608950097,270.9124005440563
AAPL_stock_gdelt_final_train,148.02999974091475,151.90228167664756
AAPL_stock_gdelt_final_train,145.4299917895199,137.49915473833323
AAPL_stock_gdelt_final_train,150.44000160869592,150.55004361894711
AAPL_stock_gdelt_final_train,216.32000715150508,237.01094922358888
MSFT_stock_gdelt_final_train,296.9700021572808,323.09575226406747
MSFT_stock_gdelt_final_train,339.3999930665505,367.151674238965
AAPL_stock_gdelt_final_train,130.02999881892194,138.83275803776337
AAPL_stock_gdelt_final_train,151.60000574492423,169.47330476611552
AAPL_stock_gdelt_final_train,129.92999270803125,138.25266562317117
AAPL_stock_gdelt_final_train,182.52000369594788,197.34101391928394
MSFT_stock_gdelt_final_train,426.99999857349036,455.34975667768236
